Id,Task,Estimate,Priority,Assigned To,Status,Due Date
,Add codekit files to IAMSDK project,,,Pooja,Complete,
,Create TestAABApp project,,,Pooja,Complete,
,Add try/catch around json calls,,,Pooja,Complete,
,Create com.att.api.aab.service,,,Pooja,Complete,
,Create AsyncApiWrapper for getContacts,,,Surender,Complete,
,Create getContacts unit test,,,Surender,Complete,
,Add a text view to display api results,,,Pooja,Complete,
,Create getContact wrapper and unit test ,,,Surender,Complete,
,Create getContactGroups wrapper and unit test ,,,Surender,Complete,
,Create CreateContact wrapper and unit test ,,,Surender,Complete,
,Create Edit text and Run Button in the TestAAB,,,Pooja,Complete,
,Create a new ContactList page to display all the contacts in a list,,,Pooja,Complete,
,"Display Formatted name, contact Id and Email Address in ContactList Page",,,Pooja,Complete,
,Create UpdateContact wrapper,,,Surender,Complete,
,Create DeleteContact wrapper,,,Surender,Complete,
,Create CreateGroup wrapper,,,Surender,Complete,
,Design/Finalize WireFrame,,,Surender,In Progress,
,Create a new Project for AABSDK,,,Pooja,Complete,
,Create ContactDetails page to navigate  from ContactList,,,Pooja,Complete,
,Display QuickContacts in the ContactDetails Page,,,Pooja,Complete,
,Run node.js simulator code,,,Surender,Complete,
,Use local node.js simulator with app,,,Surender,,
,Change local simulator to return different contact,,,Surender,,
,Add Update command to ContactDetails page,,,Pooja,Complete,
,Add Delete command to ContactDetails page,,,Pooja,Complete,
,Create a dialog box to show alert before delete,,,Surender,Complete,
,Create Delete listener and hook up API on ContactDetails page,,,Surender,Complete,
,Add Groups command to ContactDetails page,,,Pooja,Complete,
,Unit test for UpdateContact wrapper,,,,,
,Unit test for DeleteContact wrapper,,,,,
,Unit test for CreateGroup wrapper,,,,,
,Create GroupsList page,,,Pooja,Complete,
,Create GroupDetails page,,,Pooja,TBD,
,Create MyInfo page,,,Pooja,Complete,
,"Create Landing page with MyInfo, Contacts and Groups",,,Pooja,TBD,
,Create GetGroups wrapper,,,Surender,Complete,
,Unit test for GetGroups wrapper,,,,,
,Create DeleteGroup wrapper,,,Surender,Complete,
,Unit test for DeleteGroup wrapper,,,,,
,Create UpdateGroup wrapper,,,Surender,Complete,
,Unit test for UpdateGroup wrapper,,,,,
,Create AddContactsToGroup wrapper,,,Surender,Complete,
,Unit test for AddContactsToGroup wrapper,,,,,
,Create RemoveContactsFromGroup wrapper,,,Surender,Complete,
,Unit test for RemoveContactsFromGroup wrapper,,,,,
,Create GetGroupContacts wrapper,,,Surender,Complete,
,Unit test for GetGroupContacts wrapper,,,,,
,Create UpdateContact wrapper,,,Surender,Complete,
,Unit test for UpdateContact wrapper,,,,,
,Create GetMyInfo wrapper,,,Surender,Complete,
,Unit test for GetMyInfo wrapper,,,,,
,Create UpdateMyInfo wrapper,,,Surender,Complete,
,Refactor all the API wrappers and retest,,,Surender,Complete,
,Unit test for UpdateMyInfo wrapper,,,,,
,Combine all the unit tests,,,,,
,Write negative unit tests (break down further),,,,,
,Integrate User Consent Activity on logon,,,,,
,Unit test for user consent activity,,,,,
,Implement access token caching and other caching,,,,,
,Investigate on Integration with codekit.jar,,,Surender,Complete,
, Integrate with codekit.jar,,,Pooja,Complete,
